source_id,source_name,product_action_cn,standard_action,source_equipment,standard_equipment,body_part,target,training_part_cn,action_pattern,first_person_level,is_common_gym,is_first_person_recognizable,include_in_mvp,mvp_priority,recognition_reason,mapping_note,image,gif_url,source_repo,source_data_url
0009,assisted chest dip (kneeling),辅助双杠臂屈伸,assisted_dip,leverage machine,assisted_machine,chest,pectorals,胸,push,A,True,True,True,1,辅助臂屈伸器械与上下推撑轨迹明显。,,images/0009,videos/0009,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0019,assisted triceps dip (kneeling),辅助双杠臂屈伸,assisted_dip,leverage machine,assisted_machine,upper arms,triceps,手臂,push,A,True,True,True,1,胸/三头版本都合并为辅助双杠臂屈伸。,triceps/chest variants merged,images/0019,videos/0019,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0015,assisted parallel close grip pull-up,辅助引体向上,assisted_pullup,leverage machine,assisted_machine,back,lats,背,pull,A,True,True,True,1,窄握变体并入辅助引体。,close grip variant merged,images/0015,videos/0015,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0017,assisted pull-up,辅助引体向上,assisted_pullup,leverage machine,assisted_machine,back,lats,背,pull,A,True,True,True,1,辅助引体器械、把手和上下轨迹明显。,,images/0017,videos/0017,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0027,barbell bent over row,杠铃俯身划船,barbell_bent_over_row,barbell,barbell,back,upper back,背,pull,A,True,True,True,1,杠铃和俯身拉动轨迹明显。,,images/0027,videos/0027,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0118,barbell reverse grip bent over row,杠铃俯身划船,barbell_bent_over_row,barbell,barbell,back,upper back,背,pull,A,True,True,True,1,反握变体并入俯身划船。,reverse grip variant merged,images/0118,videos/0118,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0031,barbell curl,杠铃弯举,barbell_biceps_curl,barbell,barbell,upper arms,biceps,手臂,curl,A,True,True,True,1,杠铃和手臂弯举轨迹在胸前视角明显。,,images/0031,videos/0031,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0032,barbell deadlift,杠铃硬拉,barbell_deadlift,barbell,barbell,upper legs,glutes,腿/臀,hinge,A,True,True,True,1,杠铃和髋铰链周期明显，适合第一人称识别。,,images/0032,videos/0032,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1456,barbell standing military press,杠铃推举,barbell_overhead_press,barbell,barbell,shoulders,delts,肩,push,A,True,True,True,1,站姿推举轨迹明显，杠铃可见。,name in repo may be standing press/military press variant,images/1456,videos/1456,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0043,barbell full squat,杠铃深蹲,barbell_squat,barbell,barbell,upper legs,glutes,腿,squat,A,True,True,True,1,站姿动作，杠铃和上下蹲起轨迹明显。,full squat merged into barbell squat,images/0043,videos/0043,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
