source_id,source_name,source_equipment,suggested_standard_action,suggested_standard_equipment,issue_reason,recommendation,source_repo,source_data_url
0001,3/4 sit-up,body weight,situp,no_equipment,仰卧地面核心，胸前视角大概率拍到天花板/身体遮挡。,exclude_or_later,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0003,air bike,body weight,air_bike,no_equipment,地面核心且动作在躯干/腿部，第一人称不可见性高。,exclude_or_later,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0464,front plank with twist,body weight,plank,no_equipment,平板支撑类胸前设备朝地，识别和计数稳定性低。,exclude_or_later,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0664,push-up to side plank,body weight,pushup_side_plank,no_equipment,复合地面动作，第一阶段容易混淆。,exclude_or_later,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1291,dumbbell one arm pullover on exercise ball,dumbbell,dumbbell_pullover,dumbbell,不进入主白名单：仰卧/球上动作视角不稳定，仅保留在 review。,review_later,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0358,dumbbell one arm reverse wrist curl,dumbbell,wrist_curl,dumbbell,手腕/前臂细节动作幅度小，不适合第一阶段识别。,exclude_or_later,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1415,dumbbell one arm seated neutral wrist curl,dumbbell,wrist_curl,dumbbell,手腕角度细节难以从胸前视角稳定判断。,exclude_or_later,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
1496,sledge hammer,hammer,sledge_hammer,functional_equipment,大锤砸轮胎偏 CrossFit/功能训练，不是一般健身房默认动作，且安全风险高。,exclude_or_later,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0586,lever lying leg curl,leverage machine,machine_lying_leg_curl,fixed_machine,俯卧腿弯举胸前设备会被垫子压住/遮挡。,exclude_or_later,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
0602,lever seated reverse fly,leverage machine,machine_reverse_fly,fixed_machine,反向飞鸟/胸托类容易被胸垫或器械挡住。,exclude_or_later,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
TBD,skierg machine,skierg machine,skierg,cardio_ski,偏 CrossFit/高端功能区，普通健身房覆盖率不足。,exclude_or_later,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
TBD,tire flip,tire,tire_flip,functional_equipment,轮胎类设备小众，不适合作为员工通用训练库。,exclude_or_later,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
TBD,upper body ergometer,upper body ergometer,upper_body_ergometer,cardio_arm,偏康复/特殊有氧，不适合作为默认白名单。,exclude_or_later,https://github.com/hasaneyldrm/exercises-dataset,https://raw.githubusercontent.com/hasaneyldrm/exercises-dataset/main/data/exercises.json
