metric_id,human_name,layer,source_type,source_field,learning_window,reliability_condition,user_specificity_signal,health_reference_anchor,possible_balance_module_affected,risk,v0_status
energy.kcal_curve,Energy intake personal curve,core_baseline,inference,"daily_total.kcal_mid; daily_total.estimated_energy_requirement_kcal",7 days,"emit at complete_day_records>=3 with low confidence; medium at valid_record_days>=5; exclude incomplete days","median_kcal; iqr_kcal; median_to_target_ratio","estimated_energy_requirement_kcal",Kcal_Balance,"kcal recognition error; incomplete days look like low intake if not gated",v0_defined_needs_longitudinal_schema
macro.structure_curve,Macro structure personal curve,core_baseline,inference,daily_total.macro_structure_pct.*,7 days,"valid_record_days>=5 preferred; daily_confidence_avg cap applies","carb/fat/protein medians and IQR","AMDR",AMDR_Fit,"percentages hide absolute gram and kcal context",v0_defined_needs_longitudinal_schema
food_pattern.intake_curve,Food pattern intake curve,core_baseline,inference,daily_total.food_group_totals.*,7 days,"complete_day_records>=3 minimum; food_group_confidence medium preferred","food group medians and frequency","HEI_2020_food_pattern",HEI_2020_available,"food group estimates may be noisy; avoid naming this HEI curve",v0_defined_needs_longitudinal_schema
profile.metabolic,Metabolic profile context,context_baseline,local_file,user_profile.age_years; sex; height_cm; weight_kg; physical_activity_level,collected once,"profile present; stale/self-report risk","sets personal context, not eating curve","RDA/AI and energy target context","RDA_AI_Adequacy; Kcal_Balance","stale or incorrect profile",computable_now_context_only
profile.direction,Primary direction context,context_baseline,local_file,user_profile.primary_goal or user_profile.primary_direction,collected once,"alias accepted but product confirmation needed","interpretation context only","none in v0","Kcal_Balance interpretation only","Goal scope creep; naming mismatch",computable_now_context_only
quality.valid_record_days,Valid record days,quality_baseline,inference,baseline_user_id + record_date + day-level validity,7 days,"requires longitudinal schema","learning window coverage","none","baseline readiness","not computable from current master set",v0_defined_needs_longitudinal_schema
quality.complete_day_records,Complete day records,quality_baseline,inference,daily_total.coverage_flags.full_day_record_complete,7 days,"complete_day_records>=3 floor; >=5 trust","how much complete intake evidence exists","none","baseline readiness","complete flag depends on upstream logging policy",v0_defined_needs_longitudinal_schema
quality.daily_confidence_avg,Daily confidence average,quality_baseline,inference,"energy_confidence_avg; food_group_confidence_avg; moderation confidence; coverage confidence",7 days,"weighted mean over present modules with critical caps","confidence of baseline itself","none","all modules via gating","energy/food group confidence are net-new today",v0_contract_net_new_fields
quality.missing_meal_slots,Missing meal slots,quality_baseline,calculated_from_local_data,meals[].meal_slot; daily_total.available_meals,per day and 7 days,"expected meal slots must be defined","logging completeness pattern","none","Meal_Timing; baseline confidence","may confuse skipped meal with unlogged meal",v0_context_quality_only
meal_timing.curve,Meal timing curve,future_baseline,local_file,meals[].time or meals[].start_time,7 days,"timestamps absent today","first/last caloric intake and late heavy meals","future timing reference",Meal_Timing,"current Meal_Timing=100 placeholder",future_only
weekday_weekend.split,Weekday weekend baseline split,future_baseline,inference,record_date; day_of_week,more than 7 days preferred,"date required; enough repeated weekday/weekend observations","different patterns by weekday/weekend","same anchors as core",interpretation,"too sparse at 7 days",future_only
trend.reference_convergence,Reference convergence trend,future_baseline,inference,record_date; daily health-reference statuses over time,more than 7 days preferred,"requires enough longitudinal records and stable confidence","direction toward or away from health reference","HEI_2020_food_pattern; AMDR; estimated_energy_requirement_kcal","future interpretation or formula candidate","7 days too short; distinct from CV/stability",future_only
