"user_id","profile","diet_balance","diet_balance_raw","score_status","ranking_status","is_partial_day_score","balance_method","food_group_input_source","kcal_target_source","default_target_kcal","scoring_age_years","scoring_sex","scoring_weight_kg","hei_2020_available","hei_recognized_score_points","hei_recognized_max_points","hei_unscored_components","amdr_fit","rda_ai_adequacy","meal_timing","kcal_balance","structure","nutrients","rhythm","energy","hei_contribution","amdr_contribution","rda_contribution","meal_timing_contribution","kcal_contribution","legacy_four_component_reference_raw","partial_without_kcal_reference_raw"
"user01-01","carbohydrate-heavy day","72","71.55","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"28","male","72","49.66","49.66","100","","100","58.42","100","100","63.39","58.42","100","100","19.86","15","11.68","10","15","66.51",
"user02-01","lower-carbohydrate, protein-forward contrast","57","57.19","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"35","male","85","44.36","44.36","100","","73.6","54.21","100","50.45","52.33","54.21","100","50.45","17.74","11.04","10.84","10","7.57","57.74",
"user03-01","vegetable-light day","66","65.83","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"42","female","58","52.12","52.12","100","","100","61.2","100","51.62","65.18","61.2","100","51.62","20.85","15","12.24","10","7.74","68.3",
"user04-01","relatively balanced Chinese meal day","72","71.71","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"30","female","60","61.21","61.21","100","","82.6","69.2","100","73.29","67.04","69.2","100","73.29","24.48","12.39","13.84","10","10.99","70.96",
"user05-01","heavy eating / oil and animal-protein day","52","51.72","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"50","male","88","43.74","43.74","100","","83.6","58.42","100","0","54.61","58.42","100","0","17.5","12.54","11.68","10","0","60.27",
"user06-01","vegetable-forward, lighter dinner day","74","74.3","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"26","female","55","53.55","53.55","100","","100","64.4","100","100","66.22","64.4","100","100","21.42","15","12.88","10","15","69.66",
"user07-01","ordinary mixed cafeteria/home-style day","68","68.43","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"38","male","80","46.02","46.02","100","","91","56.84","100","100","58.29","56.84","100","100","18.41","13.65","11.37","10","15","62.58",
"user08-01","mixed Chinese-Western home meal day","55","54.57","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"33","female","62","46.53","46.53","100","","93.6","59.6","100","0","59.37","59.6","100","0","18.61","14.04","11.92","10","0","63.9",
"user09-01","western fast-food / ultra-processed day","51","51.47","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"22","male","95","45.97","45.97","100","","80.2","55.26","100","0","55.31","55.26","100","0","18.39","12.03","11.05","10","0","60.08",
"user10-01","SYNTHETIC near-ideal whole-grain / dairy / seafood balanced day","92","92.05","complete_with_kcal_balance","ranked","False","0.40*HEI_2020_available + 0.15*AMDR_Fit + 0.20*RDA_AI_Adequacy + 0.10*Meal_Timing + 0.15*Kcal_Balance","daily_total.food_group_totals","daily_total.estimated_energy_requirement_kcal",,"29","female","60","90.41","90.41","100","","100","100","100","72.59","93.03","100","100","72.59","36.16","15","20","10","10.89","95.2",
